Activity Period,Passenger Count,GEO Region
201908,11733,Asia
201901,8846,Central America
201902,8841,Europe
201905,2793,Europe
201908,10644,Canada
201904,14999,US
201904,9090,Asia
201904,1734,Australia / Oceania
201903,214,Australia / Oceania
201904,11158,Asia
201903,134267,US
201904,6903,Europe
201905,9077,Canada
201905,13808,Asia
201906,12712,Europe
201906,10688,Asia
201908,1020,US
201902,8646,Europe
201902,23008,Asia
201902,11682,Middle East
201901,8928,Mexico
201905,5605,Europe
201902,761,Mexico
201903,19897,Australia / Oceania
201901,20164,Australia / Oceania
201906,13914,US
201902,16426,Australia / Oceania
201905,1415,Middle East
201906,5496,Mexico
201903,22372,Asia
201903,5401,Canada
201905,136483,US
201901,5448,Europe
201902,7830,Canada
201905,14867,US
201909,8051,Asia
201908,15982,US
201908,4501,Asia
201902,7749,Europe
201901,885,US
201906,4360,Europe
201908,54953,Canada
201905,2301,Europe
201908,7735,Europe
201906,7086,Europe
201908,4637,Europe
201908,13358,Asia
201902,215689,US
201901,9377,Asia
201901,31173,Canada
201902,8431,Asia
201905,7551,Central America
201905,122,Europe
201906,53186,Canada
201901,5452,US
201909,80498,Asia
201905,8829,Asia
201905,4036,Europe
201909,6355,Asia
201903,58773,US
201908,6250,Europe
201909,11063,Australia / Oceania
201901,244672,US
201902,9222,Asia
201905,1980,Europe
201904,9845,Canada
201904,63,Australia / Oceania
201904,2050,Europe
201901,6504,Asia
201906,977,US
201901,487,Canada
201904,1150,Australia / Oceania
201901,32816,US
201906,546592,US
201904,8705,Europe
201909,9261,Europe
201906,226191,US
201902,19129,Mexico
201908,341150,US
201903,1969,Australia / Oceania
201906,97383,Asia
201903,9421,Asia
201904,16909,Europe
201908,29304,Asia
201909,233633,US
201902,3999,US
201905,5281,Asia
201903,884,US
201902,120,US
201903,231269,US
201903,330,Europe
201906,146619,US
201904,1307,Europe
201907,15337,Canada
201901,5162,Canada
201901,11597,US
201906,14527,Canada
201907,8867,Asia
201905,264044,US
201904,19882,Europe
201907,1441,Australia / Oceania
201908,9575,Middle East
201901,1607,Europe
201902,8493,US
201908,17557,US
201906,8647,Asia
201906,9391,Europe
201909,8013,Mexico
201901,124831,US
201909,18135,Europe
201902,2004,Europe
201906,22065,Asia
201906,2651,Europe
201902,3712,Canada
201906,12168,Australia / Oceania
201904,121301,US
201909,12097,Mexico
201909,3066,Europe
201905,4,US
201904,42597,Europe
201908,13796,Australia / Oceania
201903,7810,Canada
201904,8700,Europe
201908,6689,Australia / Oceania
201907,14293,Europe
201909,6984,Europe
201901,8431,Europe
201904,371,Australia / Oceania
201906,13859,Middle East
201906,16577,Asia
201903,444824,US
201902,6066,Canada
201903,258267,US
201908,9043,Mexico
201905,12715,Asia
201902,21387,Asia
201906,8238,Central America
201904,25351,Asia
201904,3320,Canada
201908,16008,Asia
201903,9255,Asia
201909,732,Europe
201903,8496,US
201905,3754,Europe
201907,15839,Asia
201905,22181,Europe
201901,2478,Europe
201907,6353,US
201906,15208,US
201909,1135,Europe
201903,8743,Europe
201908,9221,Asia
201907,12953,Canada
201908,13606,Asia
201902,12057,US
201904,15868,Europe
201902,12564,Asia
201905,155954,US
201906,4949,Mexico
201902,7369,Australia / Oceania
201908,9947,Asia
201901,2742,Middle East
201903,12710,US
201904,15058,US
201903,6186,Europe
201901,18188,Australia / Oceania
201904,168736,US
201905,65,US
201905,9933,US
201907,22777,Europe
201908,7034,Europe
201908,21647,Europe
201907,28315,Asia
201907,48454,Canada
201901,25600,Asia
201908,7408,Central America
201901,4520,Asia
201901,13375,Asia
201904,838,Canada
201907,6150,Europe
201901,17829,Europe
201907,10103,Asia
201905,15649,US
201901,173,US
201904,13810,US
201905,4986,Europe
201908,1700,Europe
201901,3089,Europe
201905,4199,US
201908,267800,US
201901,7005,Middle East
201902,11979,Mexico
201903,9712,Europe
201909,4740,Mexico
201908,8883,Middle East
201905,9547,Mexico
201903,20177,Europe
201903,7719,Canada
201901,7302,Asia
201905,15241,US
201904,14586,Europe
201901,7582,Europe
201909,2967,US
201901,538,Asia
201909,13368,Europe
201905,38106,US
201906,836,Canada
201907,16525,Asia
201907,18508,US
201903,2622,Europe
201905,20210,US
201905,250,Canada
201901,126,Canada
201902,114565,US
201903,444,Europe
201903,1336,Europe
201905,11686,Australia / Oceania
201909,9749,Australia / Oceania
201901,7813,Asia
201902,6086,Middle East
201908,25166,Asia
201903,6736,Central America
201902,126880,US
201904,147134,US
201902,8042,Asia
201905,7053,Europe
201901,9101,Europe
201906,13659,Europe
201903,10064,Asia
201904,10272,Middle East
201907,22488,US
201907,10912,Asia
201909,8509,Europe
201906,366,Canada
201903,8160,Central America
201909,186353,US
201909,14141,Canada
201904,467,US
201902,4376,Asia
201907,905,US
201907,13534,Australia / Oceania
201907,1197,Europe
201908,17380,Mexico
201907,13576,Australia / Oceania
201907,15759,US
201902,8331,Asia
201909,1722,Canada
201907,7273,Asia
201908,3898,Europe
201907,6546,Australia / Oceania
201906,12206,Asia
201907,6014,Europe
201909,13211,Asia
201902,10301,US
201907,1475,Europe
201903,4162,Asia
201904,8835,Asia
201908,20550,US
201905,7547,Middle East
201904,268624,US
201906,5408,Asia
201901,211,Asia
201906,85107,Asia
201908,3251,Europe
201907,18408,Mexico
201905,63531,US
201905,1111,US
201906,4331,Asia
201907,2346,Middle East
201903,3191,Canada
201902,68710,Asia
201903,12617,US
201906,15501,Asia
201905,9402,Europe
201908,157120,US
201906,10304,US
201904,2954,Europe
201909,125939,US
201901,10807,US
201909,13749,US
201905,20544,Europe
201902,13588,US
201902,133976,US
201907,380,Asia
201901,14561,Asia
201903,4886,Canada
201908,10409,Canada
201904,1592,Europe
201905,9724,Asia
201909,11472,Mexico
201902,1052,Europe
201905,6965,Asia
201905,27352,Asia
201901,9887,Asia
201907,694,Canada
201901,6459,Canada
201902,10325,US
201902,741,US
201907,10295,Europe
201907,33565,Mexico
201908,194,US
201905,9174,Canada
201906,250462,US
201903,13068,US
201904,5265,Canada
201904,1944,Europe
201908,121149,US
201904,10142,Asia
201901,27681,Canada
201904,4424,Europe
201907,6220,Mexico
201902,210459,US
201905,10432,Australia / Oceania
201909,8803,US
201903,134393,US
201907,8549,Central America
201908,12626,Europe
201901,6643,Canada
201905,79360,Asia
201904,4576,Asia
201901,11286,Europe
201906,26633,US
201907,70,US
201902,7203,Europe
201909,2842,Australia / Oceania
201901,8065,Central America
201905,51870,Europe
201902,20360,Asia
201909,1067,Europe
201906,9309,Mexico
201908,9997,Europe
201904,4991,Mexico
201905,5297,Mexico
201906,3240,Australia / Oceania
201901,1982,Europe
201904,7879,Central America
201903,14828,US
201903,1046,Asia
201902,2113,Europe
201901,9208,Mexico
201901,168,Mexico
201906,44940,Canada
201909,18830,Canada
201901,281,Canada
201904,8205,Mexico
201905,499412,US
201908,6625,Europe
201908,17959,US
201904,841,Canada
201909,184604,US
201907,9291,Europe
201904,16421,Europe
201907,1173,US
201907,15089,Asia
201903,6969,Asia
201907,3260,Mexico
201901,194,US
201901,55084,US
201906,9960,Asia
201901,3845,Asia
201901,77223,Asia
201909,5968,Canada
201904,453449,US
201906,14459,Middle East
201907,240561,US
201906,14500,Canada
201903,14137,Asia
201903,15210,US
201904,6794,Australia / Oceania
201907,7024,Asia
201905,225,Middle East
201908,61371,Europe
201901,7246,Europe
201902,17301,Australia / Oceania
201904,7490,Europe
201904,232640,US
201904,139310,US
201906,4532,Europe
201908,26314,Mexico
201906,13167,Australia / Oceania
201908,8568,US
201907,906,US
201902,54603,US
201905,13229,Mexico
201906,10215,US
201907,16259,US
201904,7102,Central America
201908,13822,Middle East
201908,7837,Asia
201909,22447,Europe
201909,421130,US
201907,9941,Asia
201907,10781,Canada
201904,303,Europe
201905,7294,Central America
201907,539061,US
201905,8811,Asia
201908,215,Canada
201908,2818,Middle East
201905,240629,US
201909,1419,Australia / Oceania
201908,532,Asia
201902,7183,Central America
201909,9536,Canada
201909,14680,Asia
201904,1669,Australia / Oceania
201907,8218,Central America
201905,36289,US
201901,7835,Australia / Oceania
201907,11944,Europe
201903,243227,US
201906,10544,Asia
201908,7220,Asia
201907,7841,US
201903,1101,Europe
201904,12070,Australia / Oceania
201902,4574,US
201904,7192,Mexico
201903,11496,Europe
201909,8764,Asia
201903,18142,US
201906,6331,Europe
201906,156596,US
201903,36932,Europe
201907,9194,Asia
201904,590,US
201909,18202,Europe
201904,21383,US
201905,10352,Asia
201907,2797,Europe
201909,2161,Europe
201908,10030,Europe
