GEO Region,Price Category Code,Passenger Count
US,Other,81503
Mexico,Other,7482
US,Low Fare,3183
Asia,Other,90911
Mexico,Other,17253
South America,Other,2576
Canada,Other,19200
Australia / Oceania,Other,9942
Canada,Other,17490
Europe,Other,23387
Mexico,Low Fare,2175
US,Low Fare,42170
Asia,Other,78332
US,Other,157936
US,Other,46168
Canada,Other,282
US,Other,149204
Asia,Other,19327
Europe,Other,167
US,Other,6043
Asia,Other,63408
Canada,Other,30541
Asia,Other,56308
US,Low Fare,129931
US,Low Fare,134033
Europe,Other,27204
Canada,Other,1501
Canada,Other,5214
US,Other,78941
Europe,Other,1455
Asia,Other,13591
Canada,Other,9876
Asia,Other,9239
Europe,Other,16342
US,Other,18472
US,Other,8517
US,Other,156788
Australia / Oceania,Other,5998
Europe,Other,16185
US,Low Fare,24898
Asia,Other,75274
Asia,Other,7278
US,Other,14409
US,Low Fare,120942
Asia,Other,6123
US,Other,5033
Asia,Other,11180
Europe,Other,4991
Canada,Other,32453
Europe,Other,9227
US,Other,33609
US,Low Fare,12617
Europe,Other,7599
Australia / Oceania,Other,1024
US,Low Fare,36179
US,Other,85692
US,Low Fare,212366
US,Other,270749
Canada,Other,1156
Canada,Other,16453
Canada,Other,1385
Canada,Other,9311
Asia,Other,5893
Central America,Other,5067
Asia,Other,3465
Europe,Other,13400
Middle East,Other,10003
Europe,Other,43583
Mexico,Other,5980
Mexico,Other,699
Canada,Other,14868
Canada,Other,18805
Asia,Other,9454
Asia,Other,6664
US,Other,108382
Asia,Other,16737
Asia,Other,8560
US,Other,41927
Asia,Other,15596
US,Low Fare,12633
Europe,Other,2565
Europe,Other,8878
US,Other,49494
Asia,Other,15160
US,Low Fare,43383
US,Low Fare,63655
Europe,Other,11291
Asia,Other,73855
Asia,Other,11976
Asia,Other,19268
Central America,Other,5908
US,Low Fare,154036
Europe,Other,6115
US,Low Fare,18687
US,Low Fare,155281
Australia / Oceania,Other,1517
Asia,Other,67674
Europe,Other,7665
Asia,Other,7800
US,Other,183251
Mexico,Other,303
Asia,Other,10532
US,Low Fare,59332
Asia,Other,76951
Europe,Other,19466
US,Low Fare,24
Australia / Oceania,Other,5920
US,Low Fare,38216
Europe,Other,23339
US,Other,119241
US,Other,147299
Canada,Other,21968
Asia,Other,79630
Europe,Other,12481
US,Other,62144
US,Other,22774
Asia,Other,10625
Mexico,Other,2921
Mexico,Low Fare,3617
Europe,Other,4327
US,Other,18873
Asia,Other,7530
Asia,Other,4448
Asia,Other,15294
US,Other,3252
Europe,Other,13238
US,Low Fare,22661
US,Low Fare,104832
Europe,Other,999
Canada,Other,5819
Asia,Other,8285
US,Low Fare,46785
Europe,Other,6449
Asia,Other,3603
US,Other,170203
Mexico,Other,6303
Asia,Other,5125
Asia,Other,15917
Europe,Other,4031
US,Low Fare,16319
Europe,Other,13186
Asia,Other,4462
Asia,Other,6206
Mexico,Other,4797
Europe,Other,18434
US,Other,3843
Australia / Oceania,Other,1099
Canada,Other,7009
Europe,Other,22672
Asia,Other,4486
Central America,Other,5297
Australia / Oceania,Other,7070
Asia,Other,10092
Europe,Other,7894
Europe,Other,3574
Asia,Other,8377
Europe,Other,3219
Mexico,Other,2094
US,Other,52877
Europe,Other,21173
Australia / Oceania,Other,5754
US,Low Fare,46311
Canada,Other,16743
Australia / Oceania,Other,9303
US,Other,126593
Asia,Other,72690
US,Other,4523
US,Other,7146
US,Low Fare,642
Mexico,Other,8566
US,Low Fare,21385
US,Other,37460
US,Other,113207
Mexico,Other,8612
US,Other,7947
Europe,Other,21107
Mexico,Other,11677
US,Other,206742
Canada,Other,571
Asia,Other,4199
US,Other,153432
Australia / Oceania,Other,6210
Asia,Other,6769
US,Other,539061
Asia,Other,10796
Asia,Other,3861
